userID,Movie Recommendation 1,Movie Recommendation 2,Movie Recommendation 3,Movie Recommendation 4,Movie Recommendation 5,Movie Recommendation 6,Movie Recommendation 7,Movie Recommendation 8,Movie Recommendation 9,Movie Recommendation 10
267,Indiana Jones and the Last Crusade ,Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  ",Commando ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump ,Fight Club 
268,Monty Python and the Holy Grail ,Reservoir Dogs ,Alien ,"Big Lebowski, The ",Blade Runner ,Dogma ,"Adventures of Baron Munchausen, The ",Hook ,Jabberwocky ,Erik the Viking 
269,"Birdcage, The ",Dead Man Walking ,Primal Fear ,"River Wild, The ",Star Trek: First Contact ,Star Trek II: The Wrath of Khan ,Total Recall ,"Road Warrior, The  ","Abyss, The ",You Only Live Twice 
270,"Time to Kill, A ","Insider, The ",Disclosure ,"China Syndrome, The ",Eye for an Eye ,Play Misty for Me ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
271,Blade Runner ,Braveheart ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman 
272,Goodfellas ,American History X ,"Godfather: Part II, The ",Casino ,Dead Man Walking ,Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The "
273,Braveheart ,Schindler's List ,"Shawshank Redemption, The ","American President, The ",Like Water for Chocolate  ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
274,Gattaca ,Rocky ,"Blues Brothers, The ","Crow, The ","Hunt for Red October, The ",Communion ,WarGames ,Deep Impact ,"Thirteenth Floor, The ",Looker 
275,Cape Fear ,"Deer Hunter, The ","Wizard of Oz, The ","African Queen, The ",Alien ,"Abominable Snowman, The  ",Attack of the Puppet People ,From Beyond ,"Thing from Another World, The ","Asphyx, The "
276,What's Eating Gilbert Grape ,Philadelphia ,Rain Man ,Quiz Show ,Dead Poets Society ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ","Silence of the Lambs, The ",Fight Club 
277,Executive Decision ,"Rock, The ",GoldenEye ,"Hunt for Red October, The ",Die Hard 2 ,Goldfinger ,Executive Decision ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
278,Fight Club ,Pulp Fiction ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Pulp Fiction ,"Matrix, The ",Forrest Gump 
279,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,Mad Max ,Tron ,Schindler's List ,Seven  ,Apollo 13 ,"Princess Bride, The ",One Flew Over the Cuckoo's Nest 
280,Aladdin ,Fight Club ,Office Space ,"Shawshank Redemption, The ","Truman Show, The ","Godfather, The ",American History X ,"Godfather: Part II, The ","Green Mile, The ",Casino 
281,Fight Club ,"Shawshank Redemption, The ","Godfather, The ","Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
282,Fargo ,Star Wars: Episode V - The Empire Strikes Back ,Trainspotting ,Alien ,Aliens ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Superman ,Star Wars: Episode I - The Phantom Menace ,Mad Max 
283,Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The ",Pulp Fiction ,"Matrix, The ",Fight Club ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
284,"Lion King, The ",Crimson Tide ,Casper ,Home Alone ,"Santa Clause, The ",Anastasia ,Fantasia 2000 ,Dumbo ,Tarzan ,"Secret of NIMH, The "
285,American Beauty ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Fargo ,Titanic ,Jerry Maguire ,Leaving Las Vegas ,Sense and Sensibility ,"Piano, The ","Shawshank Redemption, The ","Matrix, The "
286,American Beauty ,"Shawshank Redemption, The ",Four Weddings and a Funeral ,"Godfather, The ",Twelve Monkeys  ,"Godfather, The ","Godfather: Part II, The ",Goodfellas ,Casino ,Dead Man Walking 
287,Forrest Gump ,"Green Mile, The ","Shawshank Redemption, The ",American History X ,"Godfather, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
288,"Godfather, The ","Godfather: Part II, The ",Reservoir Dogs ,American Beauty ,To Kill a Mockingbird ,Leaving Las Vegas ,"Piano, The ",Breakfast at Tiffany's ,William Shakespeare's Romeo + Juliet,"Usual Suspects, The "
289,Swing Kids ,Grand Illusion  ,Stalag 17 ,Casualties of War ,Sergeant York ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
290,"Graduate, The ",Gandhi ,Network ,This Is Spinal Tap ,12 Angry Men ,"Postman, The  ",Say Anything... ,Manhattan ,Emma ,Roman Holiday 
291,Toy Story 2 ,Antz ,"Bug's Life, A ",Puss in Boots  ,"Black Cauldron, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
292,It's a Wonderful Life ,Rocky ,Aliens ,Apocalypse Now ,"Christmas Story, A ","Boot, Das  ","Dirty Dozen, The ",All Quiet on the Western Front ,"Longest Day, The ",Tora! Tora! Tora! 
293,American History X ,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
294,Toy Story ,Wallace & Gromit: The Wrong Trousers ,Babe ,Being John Malkovich ,Blade Runner ,Toy Story 2 ,Antz ,Puss in Boots  ,"Black Cauldron, The ",Kirikou and the Sorceress  
295,"Silence of the Lambs, The ",12 Angry Men ,American Beauty ,"Matrix, The ",Schindler's List ,"Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
296,Reservoir Dogs ,Dial M for Murder ,Following ,Basic Instinct ,Murder on the Orient Express ,"Silence of the Lambs, The ",Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Raiders of the Lost Ark  ,American Beauty 
297,Pulp Fiction ,Braveheart ,Casino ,Schindler's List ,Man Bites Dog  ,Freeway ,Trainspotting ,Get Shorty ,"Lock, Stock & Two Smoking Barrels ","Shawshank Redemption, The "
298,Aladdin ,American History X ,Heat ,Monty Python's Life of Brian ,Platoon ,Robin Hood ,Hercules ,Oliver & Company ,"Bug's Life, A ","Jungle Book, The "
299,Thesis  ,Dead Ringers ,Rosemary's Baby ,Phantoms ,What Ever Happened to Baby Jane? ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
300,Full Metal Jacket ,Platoon ,Glory ,"Deer Hunter, The ",Patton ,Pulp Fiction ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Raiders of the Lost Ark  
301,Dances with Wolves ,Babe ,"Shawshank Redemption, The ",True Lies ,Crimson Tide ,"Godfather, The ","Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino 
302,James and the Giant Peach ,Mighty Aphrodite ,Star Trek: First Contact ,Star Trek II: The Wrath of Khan ,Total Recall ,"Road Warrior, The  ","Abyss, The ",You Only Live Twice ,"Shawshank Redemption, The ","Matrix, The "
303,Raiders of the Lost Ark  ,American Beauty ,Blade Runner ,Braveheart ,Die Hard ,Indiana Jones and the Last Crusade ,Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  "
304,As Good as It Gets ,Ferris Bueller's Day Off ,Fight Club ,"Green Mile, The ",Heat ,"Killer, The  ",Hard-Boiled  ,Bullitt ,Shaft ,Patriot Games 
305,Dogma ,Braveheart ,"Fifth Element, The ",Indiana Jones and the Last Crusade ,Monty Python's Life of Brian ,Apocalypse Now ,"Boot, Das  ","Thin Red Line, The ","Longest Day, The ",Tora! Tora! Tora! 
306,Fight Club ,"Matrix, The ","Shawshank Redemption, The ",Forrest Gump ,Schindler's List ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
307,"Last of the Mohicans, The ",L̩on: The Professional   ,Saving Private Ryan ,Amadeus ,Apocalypse Now ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Longest Day, The ",All Quiet on the Western Front 
308,Pulp Fiction ,"Truman Show, The ",Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Pulp Fiction ,"Silence of the Lambs, The ",American Beauty 
309,"Godfather, The ",One Flew Over the Cuckoo's Nest ,Alien ,Apocalypse Now ,Ben-Hur ,American History X ,"Godfather: Part II, The ","Green Mile, The ",Casino ,Dead Man Walking 
310,"Fugitive, The ","Hunt for Red October, The ",Indiana Jones and the Last Crusade ,"Princess Bride, The ",Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman 
311,American History X ,"Good, the Bad and the Ugly, The  ",Goodfellas ,Pulp Fiction ,Reservoir Dogs ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
312,Goodfellas ,L̩on: The Professional   ,Pulp Fiction ,Raiders of the Lost Ark  ,Seven  ,Man Bites Dog  ,Freeway ,Trainspotting ,Get Shorty ,"Lock, Stock & Two Smoking Barrels "
313,Braveheart ,"Fifth Element, The ",Office Space ,"American Werewolf in London, An ",Dawn of the Dead ,"Boot, Das  ","Dirty Dozen, The ","Longest Day, The ",Tora! Tora! Tora! ,All Quiet on the Western Front 
314,"Firm, The ",Interview with the Vampire: The Vampire Chronicles ,Legends of the Fall ,Quiz Show ,Disclosure ,"Time to Kill, A ","Insider, The ",Dolores Claiborne ,Fatal Attraction ,"Matrix, The "
315,Casablanca ,E.T. the Extra-Terrestrial ,It's a Wonderful Life ,"Lion King, The ","Wizard of Oz, The ",Anastasia ,Fantasia 2000 ,Dumbo ,Tarzan ,"Secret of NIMH, The "
316,Fight Club ,Pulp Fiction ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump 
317,"Clockwork Orange, A ",Schindler's List ,Star Wars: Episode V - The Empire Strikes Back ,Platoon ,Glory ,"Deer Hunter, The ",Patton ,"Killing Fields, The ",Schindler's List ,Star Wars: Episode V - The Empire Strikes Back 
318,Alien ,Fight Club ,"Godfather, The ",Braveheart ,Casino ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Bullitt 
319,Good Will Hunting ,American Beauty ,Jerry Maguire ,Sense and Sensibility ,Leaving Las Vegas ,Titanic ,Pulp Fiction ,"Silence of the Lambs, The ","Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
320,Strange Days ,"Godfather: Part III, The ",Cop Land ,Twin Peaks: Fire Walk with Me ,"Crossing Guard, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
321,Clueless ,Braveheart ,Dances with Wolves ,French Kiss ,GoldenEye ,Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The "
322,American History X ,"Big Lebowski, The ",Star Wars: Episode IV - A New Hope ,Airplane! ,Apocalypse Now ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman 
323,"American President, The ","Birdcage, The ",Clueless ,Dances with Wolves ,Mission: Impossible ,True Grit ,Lonesome Dove ,Ride the High Country ,Quigley Down Under ,Return to Snowy River  
324,"Silence of the Lambs, The ",Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
325,Alien ,Aliens ,Amadeus ,American Beauty ,Apocalypse Now ,Good Will Hunting ,Casablanca ,Jerry Maguire ,Leaving Las Vegas ,Sense and Sensibility 
326,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The ","Longest Day, The ",Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Raiders of the Lost Ark  ,Terminator 2: Judgment Day ,Toy Story 
327,Casablanca ,Pulp Fiction ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Pulp Fiction ,"Matrix, The ","Silence of the Lambs, The "
328,American Beauty ,Ghostbusters  ,"Silence of the Lambs, The ",Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",True Romance ,Poltergeist ,"Silence of the Lambs, The ",American Beauty 
329,Fight Club ,American History X ,Fargo ,Forrest Gump ,"Matrix, The ","Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
330,Die Hard ,Gattaca ,Heat ,Indiana Jones and the Temple of Doom ,L̩on: The Professional   ,Clear and Present Danger ,"Killer, The  ",Hard-Boiled  ,Bullitt ,Patriot Games 
331,"Godfather: Part II, The ",Blade Runner ,Seven  ,Trainspotting ,Rear Window ,Just Cause ,Saboteur ,True Crime ,Blow Out ,"Matrix, The "
332,"Godfather, The ",Star Wars: Episode IV - A New Hope ,Full Metal Jacket ,One Flew Over the Cuckoo's Nest ,Dead Poets Society ,Star Wars: Episode I - The Phantom Menace ,Superman ,Tron ,Demolition Man ,Star Trek III: The Search for Spock 
333,"Godfather, The ",Schindler's List ,Full Metal Jacket ,Platoon ,Glory ,"Deer Hunter, The ","Killing Fields, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
334,Aliens ,Die Hard ,Saving Private Ryan ,"Silence of the Lambs, The ",Braveheart ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance 
335,Schindler's List ,Full Metal Jacket ,Platoon ,Glory ,"Deer Hunter, The ",Patton ,Fight Club ,Star Wars: Episode IV - A New Hope ,Schindler's List ,Raiders of the Lost Ark  
336,Reservoir Dogs ,Dial M for Murder ,Following ,Basic Instinct ,Murder on the Orient Express ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Raiders of the Lost Ark  ,Jurassic Park ,Independence Day  
337,Die Hard ,"French Connection, The ",Die Hard: With a Vengeance ,Ronin ,Dirty Harry ,Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The ",Fight Club 
338,American History X ,"Matrix, The ",One Flew Over the Cuckoo's Nest ,"Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live ,"Matrix, The ",Forrest Gump 
339,American History X ,"Matrix, The ",Trainspotting ,Good Will Hunting ,L̩on: The Professional   ,"Terminator, The ",Predator ,eXistenZ ,They Live ,Hangar 18 
340,True Lies ,Twister ,"Stunt Man, The ","Three Musketeers, The ",Romancing the Stone ,First Strike   ,"Matrix, The ","Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The "
341,"Matrix, The ","Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
342,"Sixth Sense, The ",Interview with the Vampire: The Vampire Chronicles ,Citizen Kane ,"Tenant, The  ","Exorcist, The ","Wicker Man, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
343,Fargo ,Seven  ,Rear Window ,Just Cause ,Saboteur ,True Crime ,Blow Out ,Forrest Gump ,Braveheart ,Seven  
344,Terminator 2: Judgment Day ,American History X ,Fight Club ,"Godfather, The ",Good Will Hunting ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
345,Alice in Wonderland ,"Apartment, The ",Apollo 13 ,Stand by Me ,Easy Rider ,"Man Who Would Be King, The ","Straight Story, The ",Aguirre: The Wrath of God  ,"Shawshank Redemption, The ",Pulp Fiction 
346,Run Lola Run  ,Bicycle Thieves    ,"Crying Game, The ","Graduate, The ",2001: A Space Odyssey ,"Postman, The  ",Say Anything... ,Manhattan ,Emma ,Roman Holiday 
347,Clear and Present Danger ,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
348,12 Angry Men ,"Matrix, The ","Terminator, The ",Predator ,eXistenZ ,They Live ,Hangar 18 ,"Matrix, The ",Forrest Gump ,Raiders of the Lost Ark  
349,"Fugitive, The ",Braveheart ,"Shawshank Redemption, The ",Apollo 13 ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The "
350,Independence Day  ,Jurassic Park ,Total Recall ,"Abyss, The ",Star Trek II: The Wrath of Khan ,Escape from New York ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
351,"Shawshank Redemption, The ",American Beauty ,American History X ,Saving Private Ryan ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The "
352,"Godfather, The ","Godfather: Part II, The ",Casino ,Dead Man Walking ,Dog Day Afternoon ,Bonnie and Clyde ,Braveheart ,Terminator 2: Judgment Day ,Toy Story ,Apollo 13 
353,Toy Story 2 ,Antz ,"Bug's Life, A ",Puss in Boots  ,"Black Cauldron, The ","Matrix, The ",Forrest Gump ,Fight Club ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
354,Indiana Jones and the Last Crusade ,Trainspotting ,Braveheart ,Fargo ,L̩on: The Professional   ,"Dirty Dozen, The ","Thin Red Line, The ","Longest Day, The ",Tora! Tora! Tora! ,All Quiet on the Western Front 
355,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,E.T. the Extra-Terrestrial ,Forrest Gump ,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
356,American History X ,"Godfather, The ",Pulp Fiction ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,"Few Good Men, A "
357,12 Angry Men ,Ace Ventura: Pet Detective ,Being John Malkovich ,"Big Lebowski, The ",Boogie Nights ,Happy Gilmore ,Liar Liar ,Robin Hood: Men in Tights ,My Cousin Vinny ,Father of the Bride Part II 
358,Jerry Maguire ,Leaving Las Vegas ,Good Will Hunting ,American Beauty ,"Piano, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
359,American History X ,Fight Club ,Forrest Gump ,"Shawshank Redemption, The ",Groundhog Day ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
360,Payback ,Enemy of the State ,"River Wild, The ",In the Line of Fire ,Breakdown ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
361,Die Hard ,Jurassic Park ,"Matrix, The ",Back to the Future ,"Fifth Element, The ","Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
362,American Beauty ,Trainspotting ,Office Space ,"Sixth Sense, The ",Good Will Hunting ,Titanic ,Casablanca ,Jerry Maguire ,Leaving Las Vegas ,Schindler's List 
363,Forrest Gump ,Fight Club ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,"Graduate, The ","American President, The ",Forrest Gump ,"Silence of the Lambs, The ",Fight Club 
364,Leaving Las Vegas ,Jerry Maguire ,"Piano, The ",Sense and Sensibility ,William Shakespeare's Romeo + Juliet,Phenomenon ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
365,"Sixth Sense, The ",Interview with the Vampire: The Vampire Chronicles ,Citizen Kane ,"Tenant, The  ","Exorcist, The ","Wicker Man, The ",Pulp Fiction ,"Matrix, The ",Fight Club ,"Usual Suspects, The "
366,"Matrix, The ",Raiders of the Lost Ark  ,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction 
367,Fight Club ,"Princess Bride, The ",Pulp Fiction ,Aladdin ,Braveheart ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
368,Star Wars: Episode I - The Phantom Menace ,Galaxy Quest ,Office Space ,Sleepy Hollow ,Akira ,Demolition Man ,"Shawshank Redemption, The ",Fight Club ,Toy Story ,Apollo 13 
369,Goodfellas ,Monty Python's Life of Brian ,Pulp Fiction ,American Beauty ,Austin Powers: The Spy Who Shagged Me ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Get Shorty 
370,Man Bites Dog  ,Freeway ,Taxi Driver ,Get Shorty ,"Lock, Stock & Two Smoking Barrels ",Forrest Gump ,Schindler's List ,Braveheart ,Toy Story ,Apollo 13 
371,Reservoir Dogs ,Alien ,Blade Runner ,Clerks ,Full Metal Jacket ,"Abominable Snowman, The  ",Attack of the Puppet People ,From Beyond ,"Thing from Another World, The ","Asphyx, The "
372,Amadeus ,Annie Hall ,Butch Cassidy and the Sundance Kid ,Gandhi ,"Graduate, The ",To Kill a Mockingbird ,Cool Hand Luke ,Rocky ,Raging Bull ,Boogie Nights 
373,Crimson Tide ,Rob Roy ,Fail-Safe ,Salvador ,Army of Shadows  ,Throne of Blood  ,"Firm, The ","Matrix, The ",Fight Club ,Star Wars: Episode IV - A New Hope 
374,Outbreak ,"Omega Man, The ",RoboCop ,"Crazies, The  ",Predator ,Eraser ,"Matrix, The ","Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The "
375,"Matrix, The ",Star Wars: Episode IV - A New Hope ,American Beauty ,Dances with Wolves ,Fight Club ,"Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
376,Die Hard ,"Shawshank Redemption, The ",American Beauty ,American History X ,Fargo ,American History X ,Goodfellas ,"Green Mile, The ",Casino ,Dead Man Walking 
377,Being John Malkovich ,"Big Lebowski, The ",Blade Runner ,Blazing Saddles ,Braveheart ,Saving Private Ryan ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The ","Longest Day, The "
378,"Godfather: Part II, The ",Pulp Fiction ,"Usual Suspects, The ",Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Pulp Fiction ,"Matrix, The "
379,Star Trek: Generations ,2001: A Space Odyssey ,Close Encounters of the Third Kind ,"20,000 Leagues Under the Sea ","Philadelphia Experiment, The ",Enemy Mine ,"Matrix, The ","Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The "
380,Office Space ,Good Will Hunting ,Schindler's List ,Akira ,American Beauty ,Platoon ,Glory ,"Deer Hunter, The ",Patton ,"Killing Fields, The "
381,American Beauty ,Being John Malkovich ,"Godfather, The ",Saving Private Ryan ,Schindler's List ,Full Metal Jacket ,Platoon ,Glory ,"Deer Hunter, The ",Patton 
382,Back to the Future ,Back to the Future Part II ,Galaxy Quest ,Bill & Ted's Excellent Adventure ,Star Trek IV: The Voyage Home ,"Adventures of Buckaroo Banzai Across the 8th Dimension, The ",American Beauty ,Braveheart ,Seven  ,Terminator 2: Judgment Day 
383,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
384,Star Wars: Episode IV - A New Hope ,Alien ,American Beauty ,American History X ,"Fifth Element, The ",Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman 
385,12 Angry Men ,Babe ,Clerks ,Glory ,In the Line of Fire ,Ferris Bueller's Day Off ,Airplane! ,"Birdcage, The ",Happy Gilmore ,Animal House 
386,Apollo 13 ,Jumanji ,"Lion King, The ",Stand by Me ,Easy Rider ,"Man Who Would Be King, The ","Straight Story, The ",Aguirre: The Wrath of God  ,"Matrix, The ",Forrest Gump 
387,Amadeus ,"Boot, Das  ",Carlito's Way ,"Green Mile, The ",Magnolia ,12 Angry Men ,Dead Poets Society ,What's Eating Gilbert Grape ,Sling Blade ,Little Women 
388,Big Trouble in Little China ,Romancing the Stone ,Clash of the Titans ,"Three Musketeers, The ",Last Action Hero ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
389,Dead Man Walking ,Willy Wonka & the Chocolate Factory ,Mary Poppins ,Babes in Toyland ,"Muppet Christmas Carol, The ","Addams Family, The ","5,000 Fingers of Dr. T, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
390,Forrest Gump ,"Shawshank Redemption, The ","Godfather, The ","Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump 
391,Dances with Wolves ,"Green Mile, The ",Raising Arizona ,To Kill a Mockingbird ,"Wizard of Oz, The ",True Grit ,Lonesome Dove ,Ride the High Country ,Quigley Down Under ,Return to Snowy River  
392,"Matrix, The ",Clerks ,"Sixth Sense, The ","Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live ,"Shawshank Redemption, The ",Pulp Fiction 
393,"Godfather, The ",Pulp Fiction ,Saving Private Ryan ,Seven  ,"Shawshank Redemption, The ","Godfather, The ","Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino 
394,Clear and Present Danger ,"Lion King, The ","Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction 
395,Apollo 13 ,Crimson Tide ,"Fugitive, The ",Ace Ventura: Pet Detective ,Demolition Man ,Stand by Me ,Easy Rider ,"Man Who Would Be King, The ","Straight Story, The ",Aguirre: The Wrath of God  
396,Antz ,"Bug's Life, A ",Puss in Boots  ,"Black Cauldron, The ",Kirikou and the Sorceress  ,Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The ",Fight Club 
397,Apocalypse Now ,Blade Runner ,Casablanca ,Chinatown ,Citizen Kane ,Good Will Hunting ,Sense and Sensibility ,Leaving Las Vegas ,Breakfast at Tiffany's ,Before Sunrise 
398,Life Is Beautiful  ,"Matrix, The ",Schindler's List ,"Shawshank Redemption, The ",Toy Story ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
399,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,Mad Max ,Tron ,"Shawshank Redemption, The ","Usual Suspects, The ",Seven  ,Apollo 13 ,"Godfather, The "
400,American Beauty ,American History X ,Good Will Hunting ,Titanic ,Casablanca ,Jerry Maguire ,Leaving Las Vegas ,Schindler's List ,American Beauty ,Braveheart 
401,Lady and the Tramp ,Boniface's Holiday ,"Little Mermaid, The ","Parent Trap, The ","Parent Trap, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ","Silence of the Lambs, The ",Fight Club 
402,Braveheart ,Forrest Gump ,Apollo 13 ,Crimson Tide ,Dances with Wolves ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love 
403,"Shawshank Redemption, The ","Silence of the Lambs, The ","Matrix, The ",Trainspotting ,"Usual Suspects, The ","Godfather, The ","Godfather: Part II, The ","Green Mile, The ",Casino ,Dead Man Walking 
